CELSIUS FULL AUDIT REPORT
================================================================================

Total issues: 943

By category:
  DASH: 716
  FR-LINK: 149
  TERM-HU: 44
  TERM-PL: 34

================================================================================
DETAILED ISSUES
================================================================================
[DASH] FTD Retention Flow | Email 2M | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 2S | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 2S | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 2S | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 2S | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3C | Default: subject: contains en-dash "–"
[DASH] FTD Retention Flow | Email 3C | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3C | fr-FR: subject: contains en-dash "–"
[DASH] FTD Retention Flow | Email 3C | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3M | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3M | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3S | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3S | Default: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3S | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3S | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3S | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 3S | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4C | Default: subject: contains en-dash "–"
[DASH] FTD Retention Flow | Email 4C | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4C | fr-FR: subject: contains en-dash "–"
[DASH] FTD Retention Flow | Email 4C | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4M | Default: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4M | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4M | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4M | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4S | Default: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4S | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4S | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 4S | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5C | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5C | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5M | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5M | Default: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5M | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5M | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5M | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5M | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5S | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5S | Default: subject: contains em-dash "—"
