CIO Campaign ID	Status	Message Type	Send Date	Sent	Delivered	Opened	Open Rate	Clicked	Click Rate	CTR (Click-Through Rate)	Converted	Conversion Rate	Bounced	Bounce Rate	Failed (CIO)	Unsubscribed	Total Deposits Amount
194147	Sent	in_app	07.04.2026	425 609	425 609	156	0,04%	130	0,03%	83,33%	50	0,01%	0	0,00%	0	0	0,00
194148	Sent	email	09.04.2026	3 820	3 571	628	17,59%	55	1,54%	8,76%	21	0,59%	98	6,52%	151	8	4 797,00
194149	Sent	in_app	09.04.2026	3 541	3 541	150	4,24%	131	3,70%	87,33%	50	1,41%	0	0,00%	0	0	0,00
194156	Sent	in_app	11.04.2026	3 529	3 529	149	4,22%	121	3,43%	81,21%	51	1,45%	0	0,00%	0	0	0,00
194155	Sent	email	11.04.2026	4 404	3 105	451	14,52%	33	1,06%	7,32%	22	0,71%	1 110	29,50%	189	8	4 655,00
194157	Sent	email	11.04.2026	4 724	4 137	684	16,53%	46	1,11%	6,73%	18	0,44%	374	12,43%	214	13	2 777,00
194158	Sent	in_app	11.04.2026	3 825	3 825	134	3,50%	109	2,85%	81,34%	47	1,23%	0	0,00%	0	0	0,00
194159	Sent	email	12.04.2026	2 803	2 627	426	16,22%	16	0,61%	3,76%	13	0,49%	54	6,28%	122	4	4 189,00
194160	Sent	in_app	12.04.2026	3 858	3 858	126	3,27%	107	2,77%	84,92%	39	1,01%	0	0,00%	0	0	0,00
194174	Sent	email	13.04.2026	4 808	4 474	878	19,62%	85	1,90%	9,68%	37	0,83%	120	6,95%	214	12	6 640,00
194175	Sent	in_app	13.04.2026	3 912	3 912	154	3,94%	131	3,35%	85,06%	61	1,56%	0	0,00%	0	0	0,00
194164	Sent	email	14.04.2026	4 791	4 482	608	13,57%	30	0,67%	4,93%	25	0,56%	103	6,45%	206	9	2 380,00
194165	Sent	in_app	14.04.2026	3 896	3 896	145	3,72%	120	3,08%	82,76%	64	1,64%	0	0,00%	0	0	0,00
194166	Sent	email	15.04.2026	4 775	4 461	588	13,18%	31	0,69%	5,27%	19	0,43%	109	6,58%	205	6	1 438,00
194167	Sent	in_app	15.04.2026	3 891	3 891	141	3,62%	119	3,06%	84,40%	62	1,59%	0	0,00%	0	0	0,00
194168	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194169	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194170	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194171	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194172	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194173	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194176	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194177	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194178	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
